,song_artist
0,The Twist - Chubby Checker
1,Smooth - Santana
2,Mack the Knife - Bobby Darin
3,"Mark Ronson, ""Uptown Funk"" (Feat. Bruno Mars)"
4,Leann Rimes - How Do I Live
5,Party Rock Anthem - LMFAO
6,Black Eyed Peas - I Gotta Feeling
7,Macarena (Bayside Boys Mix) - Los Del Rio
8,Shape of You - Ed Sheeran
9,Physical (Olivia Newton John)
10,Debby Boone - You Light Up My Life
11,Hey Jude - The Beatles
12,Closer - The Chainsmokers Ft. Hasley
13,We Belong Together - Mariah Carey
14,Old Town Road (Remix) - Lil Nas X Ft. Billy Ray Cyrus
15,Toni Braxton - Un-Break My Heart
16,Usher - Yeah! (Featuring Lil Jon and Ludacris)
17,Bette Davis Eyes - Kim Carnes
18,"Girls Like You - Maroon 5, Cardi B"
19,Endless Love - Diana Ross and Lionel Richie
20,Rod Stewart - Tonight's the Night
21,Foolish Games - Jewel
22,Circles - Post Malone
23,(Everything I Do) I Do It for You - Bryan Adams
24,I'll Make Love to You - Boyz II Men
25,"Percy Faith - Theme From ""A Summer Place"""
26,"""Le Freak"" - Chic"
27,How Deep Is Your Love - Bee Gees
28,Eye of the Tiger - Survivor
29,We Found Love - Rihanna Ft Calvin Harris
30,Flo Rida Ft. T-Pain - Low
31,I Just Want to Be Your Everything - Andy Gibb
32,Too Close (Next)
33,Sunflower (Spider-Man: Into the Spider-Verse) - Post Malone & Swae Lee
34,Every Breath You Take - The Police
35,Somebody That I Used to Know - Gotye Ft Kimbra
36,Luis Fonsi Ft. Daddy Yankee and Justin Bieber - Despacito (Remix)
37,Flashdance...What a Feeling - Irene Cara
38,Rolling in the Deep - Adele
39,Bobby Lewis - Tossin' and Turnin'
40,Johnny Horton - The Battle of New Orleans
41,One Sweet Day - Boys II Men and Mariah Carey
42,Truly Madly Deeply - Savage Garden
43,Wings - Silly Love Songs
44,Let's Get It on - Marvin Gaye
45,Night Fever - Bee Gees
46,Another One Bites the Dust - Queen
47,"Say, Say, Say - Paul McCartney & Michael Jackson"
48,How You Remind Me - Nickleback
49,Without Me - Halsey
50,Tie a Yellow Ribbon Round the Ole Oak Tree - Dawn
51,It's All in the Game -Tommy Edwards
52,I Want to Hold Your Hand - The Beatles
53,"""Shadow Dancing"" - Andy Gibb"
54,Call Me Maybe - Carly Rae Jepsen
55,Robin Thicke - Blurred Lines
56,Candle in the Wind/Something About the Way You Look Tonight- Elton John
57,No One - Alicia Keys
58,Perfect - Ed Sheeran
59,Boyz II Men - End of the Road
60,I Will Always Love You Whitney Houston
61,Boom Boom Pow by Black Eyed Peas
62,Call Me - Blondie
63,Let Me Love You - Mario
64,Stayin' Alive - Bee Gees
65,Lady - Kenny Rogers
66,Tik Tok - Ke$Ha
67,I'm a Believer - The Monkees
68,Gold Digger - Kanye West
69,Apologize - One Republic (Feat. Timbaland)
70,Sicko Mode - Travis Scott Feat. Drake
71,The Sign - Ace of Base
72,Centerfold - J. Geils Band
73,All About That Bass - Meghan Trainor
74,Bad Guy - Billie Eilish
75,(Just Like) Starting Over-John Lennon
76,Royals- Lorde
77,The Boy Is Mine - Brandy & Monica
78,Because I Love You (The Postman Song) - Stevie B
79,I Love Rock N' Roll - Joan Jett & the Blackhearts
80,God's Plan - Drake
81,Aquarius/Let the Sunshine in - The 5th Dimension
82,Whoomp! There It Is - Tag Team
83,Moves Like Jagger - Maroon 5 Ft Christina Aguilera
84,Ebony and Ivory - Paul McCartney and Stevie Wonder
85,Rush Rush - Paula Abdul
86,Dionne and Friends - That's What Friends Are For
87,Pharrell Williams - Happy
88,Upside Down - Diana Ross
89,Sugar Sugar - The Archies
90,Just the Way You Are - Bruno Mars
91,Dilemma - Nelly
92,I Heard It Through the Grapevine - Marvin Gaye
93,You're Still the One - Shania Twain
94,Billie Jean - Michael Jackson
95,Hot Stuff - Donna Summer
96,"""Rockstar"" Post Malone"
97,Gangsta's Paradise-Coolio
98,Abracadabra - Steve Miller Band
99,You're So Vain - Carly Simon
100,Play That Funky Music White Boy-Wild Cherry
101,"Say You, Say Me - Lionel Richie"
102,"My Sharona, the Knack"
103,All Night Long (All Night) - Lionel Ritchie
104,Nothing Compares 2 U - Sinead O'Connor
105,All-4-One - I Swear
106,Family Affair - Mary J. Blige
107,Waiting for a Girl Like You - Foreigner
108,Are You Lonesome Tonight? - Elvis Presley
109,Killing Me Softly With His Song - Roberta Flack
110,Wiz Khalifa Ft. Charlie Puth - See You Again
111,Hurts So Good (John Cougar)
112,Puff Daddy & Faith Evans Featuring 112 - I'll Be Missing You
113,Dark Horse - Katy Perry Ft. Juicy J
114,Raindrops Keep Fallin' on My Head - B.J. Thomas
115,Thrift Shop- Macklemore & Ryan Lewis
116,Another Day in Paradise - Phil Collins
117,One More Night - Maroon 5
118,Best of My Love- The Emotions
119,Someone You Loved - Lewis Capaldi
120,We Are Young - Fun.
121,That's What I Like - Bruno Mars
122,Usher - You Make Me Wanna...
123,Big Girls Don't Cry - Fergie
124,The Way We Were - Barbra Streisand
125,Another Night - Real McCoy
126,It's Now or Never - Elvis Presley
127,The Box - Roddy Ricch
128,Do That to Me One More Time - Captain & Tennille
129,A Fifth of Beethoven - Walter Murphy
130,Madonna- Like a Virgin
131,Maria Maria - Santana
132,Prince - When Doves Cry
133,I Will Survive - Gloria Gaynor
134,I Can't Stop Loving You - Ray Charles
135,U Got It Bad - Usher
136,Whatever You Like - T.I.
137,Down by Jay Sean Feat. Lil Wayne
138,Bleeding Love - Leona Lewis
139,Joy to the World (Three Dog Night)
140,"Independent Women, Part 1 - Destiny's Child"
141,Foolish - Ashanti
142,Maneater-Hall and Oates
143,My Love - Paul McCartney & Wings
144,The Hills - The Weeknd
145,Nobody Knows - The Tony Rich Project
146,Alone Again (Naturally) - Gilbert O'sullivan
147,All of Me - John Legend
148,Happier - Marshmello & Bastille
149,Taylor Swift - Shake It Off
150,Roberta Flack - The First Time Ever I Saw Your Face
151,One Dance - Drake
152,Radioactive- Imagine Dragons
153,Sexy and I Know It - LMFAO
154,Someone Like You - Adele
155,Hey Ya! - Outkast
156,"Another Brick in the Wall, Part 2 - Pink Floyd"
157,Burn - Usher
158,The Way You Move - Outkast
159,Faith - George Michael
160,Crank That (Soulja Boy) - Soulja Boy Tell 'em
161,Because You Loved Me - Celine Dion
162,In Da Club - 50 Cent
163,Venus - Frankie Avalon
164,Onerepublic - Counting Stars
165,Crazy Little Thing Called Love - Queen
166,Rhinestone Cowboy - Glen Campbell
167,Breathe - Faith Hill
168,I'm Sorry - Brenda Lee
169,Beyoncé - Irreplaceable
170,Total Eclipse of the Heart - Bonnie Tyler
171,Wham! w/ George Michael - Careless Whisper
172,Kiss You All Over - Exile
173,Hanging by a Moment - Lifehouse
174,The Bangles - Walk Like an Egyptian
175,E.T. - Katy Perry Ft. Kanye West
176,Domenico Modugno - Volare (Nel Blu Dipinto Di Blu)
177,To Know Him Is to Love Him - The Teddy Bears
178,Lose Yourself - Eminem
179,I'll Be There - Jackson 5
180,Fallin' - Alicia Keys
181,Creep - TLC
182,"Love Theme From ""A Star Is Born"" (Evergreen) - Barbra Streisand"
183,Love Is Blue - Paul Mauriat
184,Disco Duck - Rick Dees & His Cast of Idiots
185,I'm Real - Jennifer Lopez
186,Goodies - Ciara
187,"Hello Dolly, Louis Armstrong"
188,Don't You Want Me - The Human League
189,Da Ya Think I'm Sexy? - Rod Stewart
190,Waterfalls - TLC
191,Maggie May - Rod Stewart
192,The Four Seasons - Big Girls Don't Cry
193,Nelly - Hot in Herre
194,I Write the Songs - Barry Manilow
195,Jessie's Girl - Rick Springfield
196,Gonna Make You Sweat-C+C Music Factory
197,Boogie Oogie Oogie - A Taste of Honey
198,Woman in Love - Barbra Streisand
199,Fetty Wap - Trap Queen
200,Truth Hurts - Lizzo
201,Run It! - Chris Brown
202,Elton John - Philadelphia Freedom
203,Love Yourself - Justin Bieber
204,Jimmy Gilmer & the Fireballs - Sugar Shack
205,Honky Tonk Women - The Rolling Stones
206,Just Dance - Lady Gaga
207,Vogue - Madonna
208,Tom Dooley (Kingston Trio)
209,Love Takes Time - Mariah Carey
210,My Boo Usher and Alicia Keys
211,Keep on Truckin' - Eddie Kendricks
212,Live Your Life - T.I. Feat. Rihanna
213,(Sittin' On) the Dock of the Bay - Otis Redding
214,Baby Boy - Beyonce
215,Firework - Katy Perry
216,Lollipop - Lil' Wayne Ft. Static Major
217,Crocodile Rock - Elton John
218,It Must've Been Love - Roxette
219,Vision of Love - Mariah Carey
220,American Pie - Don Mclean
221,Smoke Gets in Your Eyes - The Platters
222,Bad Girls- Donna Summer
223,Hard to Say I'm Sorry - Chicago
224,Big Bad John - Jimmy Dean
225,He'll Have to Go - Jim Reeves
226,Miss You Much - Janet Jackson
