,cluster,artists,name,id
0,67,['Mario Novembre'],Allein sein,11NFxVnEwPDz4LjIyKazxV
1,78,"['SANTOS', 'Sido', 'Samra']",Leere Hände (feat. Sido & Samra),5QEqzFV7R8KSSCJa37tfvs
2,11,"['Majestic', 'Boney M.']",Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q
3,74,"['Mark Forster', 'LEA']",Drei Uhr Nachts,58GxgFEG5uHc9oMhofuuIP
4,67,['Jamule'],Liege wieder wach,0ZqL6UhrqydZE4DaXvCMeT
5,50,"['Alok', 'Alida']",Love Again (feat. Alida),63bWXWGcWnRQvdS8bJWdkB
6,95,"['Joel Corry', 'RAYE', 'David Guetta']",BED,0siYMEsGrzzzlWLXK5zJfS
7,11,"['Cro', 'Capital Bra']",BLESSED (feat. Capital Bra),6kxErsVgalFeBlxRfHCuUv
8,11,"['Dua Lipa', 'DaBaby']",Levitating (feat. DaBaby),49gruEYzuJZoy4R2q5xVlT
9,17,"['Miksu / Macloud', 'Nimo', 'Jamule']",Frag mich nicht,46zfTi4Wg6mmkOBPimtg6X
10,17,"['Ofenbach', 'Lagique']",Wasted Love (feat. Lagique),2pPO9YecZimmuVQfIzfV6U
11,47,"['P!nk', 'Willow Sage Hart']",Cover Me In Sunshine,6Tio0ZoDeSQnI7EBAqWer2
12,52,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl
13,35,['Leony'],Faded Love,0HzHUF33G1dPmd2eNULyfa
14,86,['RIN'],San Andreas,1VuBab65w8vPFeFvREDA32
15,78,"['ILIRA', 'VIZE']",Dynamite,3HqQpSTLHJRKDhulVacRFb
16,51,['Alvaro Soler'],Magia,3KJ1QkwWObfuq54pgwTRyW
17,25,['Billie Eilish'],Your Power,5qNh5WtzMbfpSj2jLlBkoD
18,28,"['Robin Schulz', 'Felix Jaehn', 'Alida']",One More Time (feat. Alida),2REu6wX4KKrG6uGlTKVqu6
19,23,"['DJ Khaled', 'Post Malone', 'DaBaby', 'Megan Thee Stallion', 'Lil Baby']","I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",20GrahbI4AzAOWxpYfDKkf
20,67,"['Bausa', 'Apache 207']",Madonna,0DAQryfUiFZdWFo76RYBc8
21,23,['Jan-Marten Block'],Never Not Try,0AKxA0LR1eHNIiyg4KMZGy
22,19,['AYLIVA'],Deine Schuld,1dXz1boMWgpeiNcTK3jRtU
23,61,['Lil Nas X'],MONTERO (Call Me By Your Name),3BZEcbdtXQSo7OrvKRJ6mb
24,7,"['ATB', 'Topic', 'A7S']",Your Love (9PM),5YaskwnGDZFDRipaqzbwQx
25,39,['Zoe Wees'],Girls Like Us,5SFXOMJJ334Wn2PwBHeRZN
26,68,"['FOURTY', 'Bausa']",Heimkommen,64ZyI00DBUUigpTanQqA0l
27,26,"['Nathan Evans', '220 KID', 'Billen Ted']",Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN
28,38,['Max Giesinger'],Irgendwann ist jetzt,3gMi9DLCVNNAnj9URmWNlD
29,73,"['Sia', 'David Guetta']",Floating Through Space,2AceGjiX9isUbXmMZa0Dl1
30,36,['Imagine Dragons'],Follow You,7FdUvDkaE24o3FPIWTvzv2
31,86,"['Toby Romeo', 'Felix Jaehn', 'FAULHABER']",Where The Lights Are Low,0Cnb8XdGDMHAmIRBUJMkIS
32,0,"['01099', 'Gustav']",Frisch,7toCqux0Ln42OttYYyds4k
33,26,"['VINAI', 'VAMERO']",Rise Up (feat. Vamero),46lyJh9GYmWsHez3EsvmAx
34,1,"['Jason Derulo', 'Nuka']",Love Not War (The Tampa Beat),4Lt6GXGzYsa1tgkv3nGSTm
35,52,['Wincent Weiss'],Wer wenn nicht wir,5jYDCxuSx1mfApeWA4SlqX
36,26,"['VIZE', 'Tokio Hotel']",White Lies,2QuQkdLLzgktXwruPAz6f4
37,70,"['Justin Bieber', 'Daniel Caesar', 'Giveon']",Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI
38,68,['The Kid LAROI'],WITHOUT YOU,27OeeYzk6klgBh83TSvGMA
39,19,['Marteria'],Niemand bringt Marten um,0nYSnbFVX5ghrERjwVZgwZ
40,23,['The Weeknd'],Save Your Tears,5QO79kh1waicV47BqGRL3g
41,73,['Ava Max'],My Head & My Heart,1KixkQVDUHggZMU9dUobgm
42,17,['Masked Wolf'],Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277
43,17,['Tones And I'],Fly Away,5ri4zqtWhG07hIuNNDWP76
44,45,"['Maroon 5', 'Megan Thee Stallion']",Beautiful Mistakes (feat. Megan Thee Stallion),6fRxMU4LWwyaSSowV441IU
45,87,['Duncan Laurence'],Arcade,1Xi84slp6FryDSCbzq4UCD
46,67,['Glass Animals'],Heat Waves,6CDzDgIUqeDY5g8ujExx2f
47,51,"['Doja Cat', 'SZA']",Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK
48,84,['Danger Dan'],Das ist alles von der Kunstfreiheit gedeckt,4ioQKdmkdBTkqjhfHeu4YU
49,34,['Olivia Rodrigo'],deja vu,61KpQadow081I2AsbeLcsb
50,80,"['Harris & Ford', 'Maxim Schunk']",Lost in You,3GLa4qZ1hy9Skx1e2tMwXm
51,35,['Beachbag'],We Are Young,6KhSk0XaifZje1L3n2zUUq
52,80,['Axel Black & White'],Somebody To Love,7AxA87dIJ1FF4l1BQ98ZCZ
53,73,"['LUM!X', 'SØLO']",Secrets,5xjXfai7bW503D99N7ofqb
54,58,"['Phil The Beat', 'ILIRA']",Anytime,4pAxG2OEh4LSNuZFzDRUbN
55,70,['Alfons'],Fly With You,4AN9eutNtqfXFsKCBHiSOf
56,73,"['R3HAB', 'Timmy Trumpet', 'W&W']",Distant Memory (with Timmy Trumpet x W&W),5qan1YtZZu2zhax413risP
57,50,"['Marc Korn', 'Semitoo', 'Phil Praise']",Monster - Radio Edit,0t305ELuXVAV4Dzp9wq48F
58,59,"['Ummet Ozcan', 'Charly Lownoise & Mental Theo', 'Orange INC']",Wonderful Days,6djDjm3FGt1G3NUTfbrhu6
59,28,"['Steve Aoki', 'Brennan Heart', 'PollyAnna']",Close to You (feat. PollyAnna),4gEC7He07d6cuzkQ7MSobQ
60,73,"['Harris & Ford', 'Neptunica']",Bye Bye,6UC9FZ8zimf09Q6i8i8plN
61,28,"['Moguai', 'Graham Candy', 'MY PARADE', 'le Shuuk']",A Little Bit of Faith - le Shuuk Remix,0WTmgS8NvUtHlVQMqfwE22
62,66,"['B3nte', 'Mike Emilio', 'Hilaa']",Eternity,3kyVsU28a4mWIC4UpXDWuy
63,10,"['Blondee', 'Felix Schorn']",Fairytale - Radio Edit,6IEeZze0KkQeSHqutjSsmx
64,73,"['LIZOT', 'Jerome']",Sober,5jQxnJIy96OrUKQy8phVzh
65,10,"['LUNAX', 'Mia Amare']",Sweet Harmony,6kZBa2wVfTaGAdoLa3dVAP
66,10,['Sea Shanty'],Wellerman,1fC0uGs48Sb7GLioUe0tN4
67,17,['Keanu Silva'],Do Or Die,5hQRNdaLnqlFYhBiVFMptc
68,66,"['MATTN', 'Klaas']",The Logical Song,1pUTByFRmxwuFIl18NpUB8
69,19,['Mike Candys'],Sky,5S4P1Nlkgr7H6vXbicj74K
70,42,"['Steve Modana', 'Rocco']",Like a Child,5pUsrDG9eAWYQLnSHMkbjK
71,95,"['Gromee', 'INNA']",Cool Me Down,4YATrrrkiZCH1jy2ISOP9P
72,35,"['offrami', 'Mougleta']",Drunk Calling (feat. Mougleta),3U6YCUCPJ5CxQWx1psJ4Ga
