,rank,song,artist,last_week_rank,peak_rank,weeks
0,1,Save Your Tears,The Weeknd & Ariana Grande,6,1,20
1,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2,1,8
2,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3,1,6
3,4,Rapstar,Polo G,1,1,3
4,5,Levitating,Dua Lipa Featuring DaBaby,5,5,30
5,6,Kiss Me More,Doja Cat Featuring SZA,8,6,3
6,7,Montero (Call Me By Your Name),Lil Nas X,4,1,5
7,8,Astronaut In The Ocean,Masked Wolf,7,7,11
8,9,Up,Cardi B,9,1,12
9,10,Drivers License,Olivia Rodrigo,10,1,16
10,11,Blinding Lights,The Weeknd,13,1,73
11,12,Deja Vu,Olivia Rodrigo,11,8,4
12,13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,14,12,15
13,14,Calling My Phone,Lil Tjay Featuring 6LACK,16,3,11
14,15,On Me,Lil Baby,32,15,21
15,16,Best Friend,Saweetie Featuring Doja Cat,15,14,16
16,17,Heartbreak Anniversary,Giveon,20,17,11
17,18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,22,18,8
18,19,What You Know Bout Love,Pop Smoke,17,9,34
19,20,Mood,24kGoldn Featuring iann dior,19,1,38
20,21,My Ex's Best Friend,Machine Gun Kelly X blackbear,27,21,37
21,22,Back In Blood,Pooh Shiesty Featuring Lil Durk,23,13,17
22,23,Without You,The Kid LAROI,31,23,21
23,24,The Good Ones,Gabby Barrett,21,19,18
24,25,Go Crazy,Chris Brown & Young Thug,24,3,51
25,26,You Broke Me First.,Tate McRae,25,17,36
26,27,34+35,Ariana Grande,26,2,26
27,28,Hell Of A View,Eric Church,41,28,16
28,29,Forever After All,Luke Combs,35,2,27
29,30,What's Next,Drake,28,1,8
30,31,Time Today,Moneybagg Yo,53,31,12
31,32,Therefore I Am,Billie Eilish,30,2,25
32,33,Dakiti,Bad Bunny & Jhay Cortez,29,5,26
33,34,Positions,Ariana Grande,33,1,27
34,35,Shottas (Lala),Moneybagg Yo,-,35,1
35,36,Solid,Young Thug & Gunna Featuring Drake,12,12,2
36,37,Track Star,Mooski,37,35,10
37,38,Ski,Young Thug & Gunna,18,18,2
38,39,Wants And Needs,Drake Featuring Lil Baby,36,2,8
39,40,You're Mines Still,Yung Bleu Featuring Drake,34,18,21
40,41,We're Good,Dua Lipa,38,38,11
41,42,Heat Waves,Glass Animals,39,39,15
42,43,Made For You,Jake Owen,42,42,10
43,44,Good Days,SZA,44,9,18
44,45,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,40,6,43
45,46,Breaking Up Was Easy In The 90's,Sam Hunt,49,46,9
46,47,No More Parties,Coi Leray Featuring Lil Durk,43,26,12
47,48,Goosebumps,Travis Scott & HVME,47,47,15
48,49,Telepatia,Kali Uchis,54,39,10
49,50,Tombstone,Rod Wave,48,11,6
50,51,Streets,Doja Cat,51,16,16
51,52,Go!,Moneybagg Yo Featuring BIG30,96,52,2
52,53,Hard For The Next,Moneybagg Yo & Future,-,49,3
53,54,If Pain Was A Person,Moneybagg Yo,-,54,1
54,55,What's Your Country Song,Thomas Rhett,52,29,19
55,56,Just The Way,Parmalee x Blanco Brown,58,31,18
56,57,Hold On,Justin Bieber,56,20,8
57,58,Settling Down,Miranda Lambert,65,58,7
58,59,Wockesha,Moneybagg Yo,-,59,1
59,60,Botella Tras Botella,Gera MX + Christian Nodal,-,60,1
60,61,Willow,Taylor Swift,60,1,20
